"Año","Municipios","Subregión","Area en Pasto de Corte (Hectarea)","Area en Pasto Natural (Hectarea)","Area en Pasto Mejorado (Hectarea)","Area en Pasto Cultivo Forrajero (Hectarea)","Área en Pasto Sistema Silvopastoril (Hectárea)","Total (Hectareas)"
"2,012","Toluviejo","Golfo de Morrosquillo","250.00","20,343.00","3,000.00","200.00","50.00","23,843.00"
"2,013","Sincelejo","Montes de María","383.00","22,800.00","605.00","null","null","23,788.00"
"2,013","Buenavista","Sabanas","205.00","8,900.00","285.00","15.00","64.00","9,469.00"
"2,013","Caimito","San Jorge","null","8,381.00","18,350.00","null","null","26,731.00"
"2,013","Chalán","Montes de María","8.50","2,065.00","13.00","null","null","2,086.50"
"2,013","Colosó","Montes de María","100.00","7,000.00","100.00","null","60.00","7,260.00"
"2,013","Corozal","Sabanas","140.00","15,565.00","6,235.00","60.00","2.00","22,002.00"
"2,013","Coveñas","Morrosquillo","6.00","1,300.00","500.00","10.00","null","1,816.00"
"2,013","El Roble","Sabanas","28.00","15,546.00","null","null","null","15,574.00"
"2,013","Galeras","Sabanas","105.00","29,944.00","null","null","null","30,049.00"
"2,013","Guaranda","Mojana","null","14,800.00","6,200.00","null","null","21,000.00"
"2,013","La Unión","San Jorge","27.00","20,050.00","1,328.00","null","null","21,405.00"
"2,013","Los Palmitos","Sabanas","90.00","14,835.00","null","null","25.00","14,950.00"
"2,013","Majagual","Mojana","30.00","54,300.00","9,050.00","null","null","63,380.00"
"2,013","Morroa","Montes de María","300.00","15,000.00","1,250.00","null","3.00","16,553.00"
"2,013","Ovejas","Montes de María","80.00","12,500.00","230.00","50.00","50.00","12,910.00"
"2,013","Sampués","Sabanas","300.00","15,050.00","200.00","50.00","200.00","15,800.00"
"2,013","San Antonio de Palmito","Morrosquillo","62.00","9,062.00","7,504.00","5.00","50.00","16,683.00"
